LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(pixel/sec),(pixel),(sec),(pixel),(pixel),(pixel),
ID6592 → ID6595,48,6592,6595,-1.0,0.5543074962015513,12.649110640673518,12.649110640673518,1.5,545.5,83.5,0.0,
ID6590 → ID6592,48,6590,6592,-1.0,NaN,15.620499351813308,15.620499351813308,0.5,556.5,91.5,0.0,
ID6602 → ID6605,49,6602,6605,-1.0,NaN,10.198039027185569,10.198039027185569,0.5,702.5,174.5,0.0,
ID6605 → ID6608,49,6605,6608,-1.0,2.1587989303424644,8.48528137423857,8.48528137423857,1.5,706.5,172.5,0.0,
ID6617 → ID6619,50,6617,6619,-1.0,2.601173153319209,2.0,2.0,1.5,287.5,322.5,0.0,
ID6615 → ID6617,50,6615,6617,-1.0,NaN,11.661903789690601,11.661903789690601,0.5,290.5,326.5,0.0,
ID6625 → ID6627,51,6625,6627,-1.0,NaN,10.198039027185569,10.198039027185569,0.5,538.5,168.5,0.0,
ID6627 → ID6629,51,6627,6629,-1.0,1.837048375945822,8.94427190999916,8.94427190999916,1.5,533.5,165.5,0.0,
ID6637 → ID6640,52,6637,6640,-1.0,NaN,2.0,2.0,0.5,1286.5,77.5,0.0,
ID6640 → ID6643,52,6640,6643,-1.0,1.650626312507134,50.15974481593781,50.15974481593781,1.5,1287.5,52.5,0.0,
