LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2081,2081,0,-1.0,921.5,711.5,0.0,26.0,26,5.0,1,,53890.51546391752,65535.0,11565.0,65535.0,5227380.0,19365.855277993687,0.23104148084864784,1.044534824290631,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2083,2083,0,-1.0,919.5,711.5,0.0,27.0,27,5.0,1,,63102.77319587629,65535.0,29298.0,65535.0,6120969.0,8013.502690128131,0.23326380598885768,2.9788417068985225,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2085,2085,0,-1.0,913.5,715.5,0.0,28.0,28,5.0,1,,63237.8969072165,65535.0,26214.0,65535.0,6134076.0,8398.076712463862,0.31548998764226355,3.6118159423288563,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2087,2087,0,-1.0,921.5,699.5,0.0,29.0,29,5.0,1,,55027.14432989691,65535.0,13878.0,65535.0,5337633.0,17996.533814407678,0.2136537055782776,1.0765488655226276,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2089,2089,0,-1.0,913.5,699.5,0.0,30.0,30,5.0,1,,63460.45360824742,65535.0,23901.0,65535.0,6155664.0,7584.7886891305825,0.27863199035996833,3.6464905560652676,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2091,2091,0,-1.0,915.5,689.5,0.0,31.0,31,5.0,1,,64461.9587628866,65535.0,43176.0,65535.0,6252810.0,3761.6002465637407,0.3106576715787887,8.123695985638884,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2093,2093,0,-1.0,915.5,703.5,0.0,32.0,32,5.0,1,,61521.030927835054,65535.0,20046.0,65535.0,5967540.0,11244.633757610078,0.23733736728188953,2.0988735621515473,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2095,2095,0,-1.0,921.5,713.5,0.0,33.0,33,5.0,1,,57093.742268041235,65535.0,13878.0,65535.0,5538093.0,16493.128103267733,0.19969325946715513,1.152414358402381,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2097,2097,0,-1.0,915.5,725.5,0.0,34.0,34,5.0,1,,57546.80412371134,65535.0,15420.0,65535.0,5582040.0,15834.536880554799,0.2036295231404587,1.2296846511149753,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2099,2099,0,-1.0,913.5,717.5,0.0,35.0,35,5.0,1,,65089.886597938144,65535.0,49344.0,65535.0,6313719.0,2347.109005760641,0.27800155247945413,12.064965672029222,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2101,2101,0,-1.0,915.5,717.5,0.0,36.0,36,5.0,1,,62474.845360824744,65535.0,23130.0,65535.0,6060060.0,9148.658737464604,0.20692016145897496,2.3415423879318427,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2103,2103,0,-1.0,913.5,721.5,0.0,37.0,37,5.0,1,,60535.42268041237,65535.0,21588.0,65535.0,5871936.0,11483.928643103656,0.060401028352425536,0.6005142009300563,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2105,2105,0,-1.0,911.5,703.5,0.0,38.0,38,5.0,1,,62323.82474226804,65535.0,31611.0,65535.0,6045411.0,8246.817562968226,0.10173201083493087,1.3956591492629618,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2107,2107,0,-1.0,907.5,709.5,0.0,39.0,39,5.0,1,,61465.39175257732,65535.0,26214.0,65535.0,5962143.0,8967.013863968208,0.07419422889429907,0.9468912844089127,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2110,2110,0,-1.0,937.5,687.5,0.0,17.0,17,5.0,1,,58699.32989690721,65535.0,16191.0,65535.0,5693835.0,14805.671438479263,0.33407254497198463,1.9856210610503173,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2112,2112,0,-1.0,947.5,695.5,0.0,18.0,18,5.0,1,,57848.845360824744,65535.0,15420.0,65535.0,5611338.0,15327.545610585752,0.30801404242905855,1.7775023502186267,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2114,2114,0,-1.0,949.5,703.5,0.0,19.0,19,5.0,1,,61687.948453608245,65535.0,23130.0,65535.0,5983731.0,9850.697301218437,0.35835068593526576,3.304149449554464,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2116,2116,0,-1.0,941.5,715.5,0.0,20.0,20,5.0,1,,62498.69072164949,65535.0,20046.0,65535.0,6062373.0,9449.216569554874,0.32959137768619184,3.2791611798082587,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2118,2118,0,-1.0,945.5,719.5,0.0,21.0,21,5.0,1,,64533.49484536082,65535.0,38550.0,65535.0,6259749.0,3798.6341216386268,0.3273348160854612,8.379139677818369,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2120,2120,0,-1.0,933.5,717.5,0.0,22.0,22,5.0,1,,64843.48453608248,65535.0,41634.0,65535.0,6289818.0,3100.988565876361,0.3269678033337703,10.304828766384945,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2122,2122,0,-1.0,929.5,711.5,0.0,23.0,23,5.0,1,,62919.9587628866,65535.0,27756.0,65535.0,6103236.0,8148.5289149298815,0.29944766271133755,3.5587817054224415,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2124,2124,0,-1.0,927.5,717.5,0.0,24.0,24,5.0,1,,58524.463917525776,65535.0,17733.0,65535.0,5676873.0,14742.994817498546,0.28896230932080225,1.7798471528469142,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2126,2126,0,-1.0,931.5,723.5,0.0,25.0,25,5.0,1,,57626.28865979381,65535.0,13878.0,65535.0,5589750.0,15787.185328058775,0.22942197235856981,1.3623226500107035,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2128,2128,0,-1.0,929.5,731.5,0.0,26.0,26,5.0,1,,58699.32989690721,65535.0,16962.0,65535.0,5693835.0,14356.372674502452,0.2526994832689001,1.6495894526159671,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
