LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID6308,6308,24,-1.0,221.5,785.5,0.0,1.0,1,5.0,1,,65535.0,65535.0,65535.0,65535.0,6356895.0,0.0,0.1977181313914666,Infinity,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID6310,6310,24,-1.0,221.5,789.5,0.0,2.0,2,5.0,1,,64716.30927835051,65535.0,39321.0,65535.0,6277482.0,3840.2173396632847,0.1917339912643006,5.422601869699796,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID6321,6321,25,-1.0,541.5,201.5,0.0,1.0,1,5.0,1,,62013.83505154639,65535.0,19275.0,65535.0,6015342.0,10053.784825958632,0.3900378898299761,3.4615384420830146,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID6323,6323,25,-1.0,533.5,213.5,0.0,2.0,2,5.0,1,,48620.69072164949,65535.0,9252.0,65535.0,4716207.0,23370.176272941328,0.2877818865953265,0.9298443894911491,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID6319,6319,25,-1.0,541.5,207.5,0.0,0.0,0,5.0,1,,60201.58762886598,65535.0,12336.0,65535.0,5839554.0,13500.606879686744,0.29822173671674934,2.048684433058301,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID6329,6329,26,-1.0,651.5,277.5,0.0,0.0,0,5.0,1,,57387.83505154639,63993.0,12336.0,65535.0,5566620.0,12980.682034341467,0.32500922732218657,2.168847986711414,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID6332,6332,26,-1.0,655.5,281.5,0.0,1.0,1,5.0,1,,59669.0412371134,63222.0,33153.0,65535.0,5787897.0,7350.287080444436,0.29449189348480426,3.6935906567656174,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID6335,6335,26,-1.0,659.5,285.5,0.0,2.0,2,5.0,1,,59406.742268041235,63993.0,16191.0,65535.0,5762454.0,10474.545968957287,0.2761445377840738,2.4545230630803467,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID6342,6342,27,-1.0,537.5,411.5,0.0,0.0,0,5.0,1,,65535.0,65535.0,65535.0,65535.0,6356895.0,0.0,0.23737099402498643,Infinity,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID6345,6345,27,-1.0,543.5,403.5,0.0,1.0,1,5.0,1,,64438.113402061856,65535.0,27756.0,65535.0,6250497.0,5306.561939940283,0.2425192531991922,4.740265531711908,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
